LOG_NU,UFE_SG,LOC_NU,BAI_NU_INI,BAI_NU_FIM,LOG_NO,LOG_COMPLEMENTO,CEP,TLO_TX,LOG_STA_TLO,LOG_NO_ABREV
356738,RJ,7043,12175,NULL,"Primeiro de Março",NULL,20010000,Rua,S,"R Primeiro de Março"
357247,RJ,7043,12175,NULL,"Quinze de Novembro",NULL,20010010,Praça,S,"Pç Quinze de Novembro"
358570,RJ,7043,12175,NULL,"São José",NULL,20010020,Rua,S,"R S José"
360177,RJ,7043,12175,NULL,Tinoco,NULL,20010030,Travessa,S,"Tv Tinoco"
360207,RJ,7043,12175,NULL,Tocantins,NULL,20010040,Travessa,S,"Tv Tocantins"
363122,RJ,7043,12175,NULL,"Trajano de Carvalho",NULL,20010050,Travessa,S,"Tv Trajano de Carvalho"
361131,RJ,7043,12175,NULL,"Visconde de Itaboraí",NULL,20010060,Rua,S,"R Vsc de Itaboraí"
345489,RJ,7043,12175,NULL,"Cais Pharoux",NULL,20010070,Rua,S,"R Cais Pharoux"
346786,RJ,7043,12175,NULL,"do Comércio",NULL,20010080,Travessa,S,"Tv do Comércio"
362911,RJ,7043,12175,NULL,"Dom Manuel",NULL,20010090,Rua,S,"R D Manuel"
361984,RJ,7043,12175,NULL,"Jacó do Bandolim",NULL,20010100,Rua,S,"R Jacó do Bandolim"
361679,RJ,7043,12175,NULL,"Melvin Jones",NULL,20010110,Praça,S,"Pç Melvin Jones"
362575,RJ,7043,12175,NULL,"do Mercado",NULL,20010120,Rua,S,"R do Mercado"
354198,RJ,7043,12175,NULL,"dos Mercadores",NULL,20010130,Rua,S,"R dos Mercadores"
354797,RJ,7043,12175,NULL,"da Natividade",NULL,20010140,Travessa,S,"Tv da Natividade"
355588,RJ,7043,12175,NULL,"do Ouvidor","- até 48/49",20010150,Rua,S,"R do Ouvidor"
355621,RJ,7043,12175,NULL,Paço,NULL,20010160,Largo,S,"Lrg Paço"
355623,RJ,7043,12175,NULL,"do Paço",NULL,20010170,Travessa,S,"Tv do Paço"
359233,RJ,7043,12175,NULL,"Sérvulo Dourado",NULL,20010180,Praça,S,"Pç Sérvulo Dourado"
