nome,latitude,longitude
Arena Carioca  Jovelina P_rola Negra,-22.8075199,-43.3606814
Arena Carioca Abelardo Barbosa ? Chacrinha,-22.9977248,-43.6301318
Arena Carioca Carlos Roberto de Oliveira - Dicr„,-22.8388711,-43.2895526
Arena Carioca Fernando Torres,-22.8615505,-43.3492682
Areninha Carioca Gilberto Gil,-22.8741099,-43.4176023
Areninha_Hermeto Pascoal,-22.8774415,-43.4750072
Bar do Tom Z_,-22.9406204,-43.3697383
Biblioteca Popular Municipal de Irajˆ,-22.8465434,-43.3265495
Calçad†o de Santa Cruz,-22.9181968,-43.6832396
Campo de Santana,-22.9063839,-43.1907998
Casa de Artes de Paquetˆ,-22.753249,-43.1134163
Casa de Cultura Ded_,-22.947105,-43.1969107
Casa de Myst_rios,-22.8962038,-43.1947036
Casa do Choro - Audit„rio Radam_s Gnattali,-22.9065059,-43.1825868
Casa Jongo da Serrinha,-22.9395329,-43.467193
CASA PORTO,-22.8977949,-43.1865657
Centro Afro Carioca de Cinema,-22.9160311,-43.1804871
Centro Coreogrˆfico da Cidade do Rio de janeiro,-22.926849,-43.2419796
Centro Coreogrˆfico da Cidade do Rio de Janeiro - Teatro Angel Vianna,-22.9275531,-43.2416805
Centro Cultural Jo†o Nogueira - Imperator,-22.9026886,-43.2842251
Centro Cultural Municipal Oduvaldo Vianna Filho - Castelinho do Flamengo,-22.9302488,-43.1767872
Centro Cultural Municipal Parque das RuÍnas,-22.9176749,-43.18457
Centro Cultural Professora Dyla Sylvia de Sˆ,-22.8971179,-43.3563096
Centro da Mìsica Carioca,-22.9356184,-43.2463777
Centro de Artes da Mar_ # CAM,-22.8536329,-43.2488501
Cine Odeon,-22.9115649,-43.1779928
Cinelandia,-22.9108113,-43.1779259
Circo Voador,-22.9128537,-43.1825581
Clube Grajaì Country Clube,-22.9218733,-43.2703839
Clube Magnatas do Rocha,-22.897885,-43.2544737
Coreto de Paquetˆ,-22.7594197,-43.1168597
Coreto Modernista  do Parque do Flamengo,-22.9257025,-43.1729959
Despina Largo das Artes,-22.9050546,-43.183503
Ecomuseu do Quarteir†o Cultural do Matadouro de Santa Cruz,-22.9112474,-43.207822
Escola Municipal Jardim de Inf_ncia MaurÍcio Cardoso,-22.8975514,-43.2974409
Espaço Cultural Municipal  S_rgio Porto,-22.9583881,-43.201579
Espaço Cultural Paschoal Carlos Magno,-22.8711177,-43.2675631
Espaço Cultural Viaduto de Realengo,-22.8743491,-43.4306199
Espaço de Desenvolvimento Infantil Professora Tania da Rocha Corrêa,-22.821508,-43.3539162
Fazenda Viegas,-22.8854497,-43.4875073
Jardim Do Meier,-22.900162,-43.278569
Lona Cultural Jo†o Bosco,-22.8327315,-43.3146683
Lona Cultural Municipal Jacob do Bandolim,-22.9245255,-43.3590245
Lona Cultural Municipal Sandra de Sˆ,-22.9021704,-43.7094468
Lona Cultural Municipal Terra,-22.8398563,-43.3806757
Morro do Vidigal,-22.99396,-43.2408499
Museu da Repìblica,-22.9258542,-43.1784094
Museu de Arte do Rio - MAR,-22.8967034,-43.184241
Palˆcio do Catete,-22.9258542,-43.1784094
Parque Cidade das Crianças,-22.8924427,-43.6930196
Parque Darke de Mattos,-22.7678045,-43.1152585
Parque Eduardo Guinle,-22.9307709,-43.1855506
Parque Madureira,-22.8633958,-43.3478089
Parque recanto do trovador -Zool„gico de Vila Isabel,-22.9161157,-43.2628619
Passeio Pìblico,-22.913376,-43.1788245
Pedra do Sal,-22.898037,-43.187849
Pontilh†o Cultural - Complexo da Mar_,-22.8622942,-43.2403597
Praça Agripino Grieco,-22.9016933,-43.2819995
Praça Bar†o de Drummond,-22.916666,-43.250852
Praça Comandante Xavier de Brito (Cavalinhos),-22.931935,-43.243543
Praça Corumbˆ,-22.950345,-43.192483
Praça da Feira Popular da Gloria,-22.919908,-43.176746
Praça da Lapa,-22.912816,-43.179446
Praça Das Naç_es,-22.8666386,-43.2557088
Praça do Rodo,-23.0009492,-43.6349385
Praça dos Estudantes,-22.9031242,-43.5699583
Praça Edmundo  Rego,-22.9227754,-43.2669873
Praça Mauˆ,-22.896679,-43.18127
Praça Odilo Costa Neto,-22.9231392,-43.1902646
Praça Paris,-22.9158591,-43.177957
Praça Professor Jos_ Bernardino - Praça do Pomar,-23.011026,-43.3112717
Praça XV de Novembro,-22.863038,-43.375054
Quadra da G.R.E.S. Unidos de Vila Isabel,-22.9161515,-43.2511341
Quinta da Boa Vista,-22.9053673,-43.2256757
çrea de Lazer dos Subtenentes e Sargentos da Vila Militar - ALSSVM,-22.8601515,-43.3996715
Sala CecÍlia Meireles,-22.9144872,-43.1806154
Sede das Cias,-22.9152932,-43.1815729
Sede do Grupo Moitarˆ,-22.9158692,-43.1808051
Teatro Carlos Gomes,-22.9074913,-43.1848418
Teatro Glaucio Gill,-22.965195,-43.1830067
Teatro Gonzaguinha,-22.9082963,-43.1979546
Teatro Serrador,-22.9118506,-43.178895
Terreir†o do Samba,-22.9076422,-43.1985215
Viaduto de Madureira,-22.876038,-43.3369597
Vila Militar,-22.8616018,-43.4082766
,-22.9308964,-43.1804721
,-22.9178269,-43.1885003
,-22.913835,-43.205686
,-22.924564,-43.209299
