nome,latitude,longitude
ARENA CARIOCA JOVELINA PƒROLA NEGRA,-22.8074967,-43.3608484
ARENA CARIOCA ABELARDO BARBOSA - CHACRINHA,-22.997977,-43.6286561
ARENA CARIOCA CARLOS ROBERTO DE OLIVEIRA - DICRî,-43.2895526,
ARENA CARIOCA FERNANDO TORRES,-22.8615505,-43.3492682
BIBLIOTECA POPULAR MUNICIPAL DA GAMBOA ? JOSƒ BONIFçCIO,-22.8965654,-43.1944645
BIBLIOTECA POPULAR MUNICIPAL DA ILHA DO GOVERNADOR ? EUCLIDES DA CUNHA,-22.8041663,-43.182044
BIBLIOTECA POPULAR MUNICIPAL DA MARƒ ? JORGE AMADO,-22.8584124,-43.241718
BIBLIOTECA POPULAR MUNICIPAL DA TIJUCA ? MARQUES REBELO,-22.9247451,-43.2295833
BIBLIOTECA POPULAR MUNICIPAL DE BOTAFOGO ? MACHADO DE ASSIS,-22.9415226,-43.1844087
BIBLIOTECA POPULAR MUNICIPAL DE CAMPO GRANDE ? MANOEL IGNçCIO DA SILVA ALVARENGA,-43.5729107,
BIBLIOTECA POPULAR MUNICIPAL DE JACAREPAGUç - CECêLIA MEIRELES,-22.8965352,-43.3481577
BIBLIOTECA POPULAR MUNICIPAL DE SANTA TERESA ? JOSƒ DE ALENCAR,-22.9203901,-43.1890698
BIBLIOTECA POPULAR MUNICIPAL DO IRAJç ? JOÌO DO RIO,-22.8466293,-43.3244657
BIBLIOTECA POPULAR MUNICIPAL VOLANTE ? JOÌO ANTONIO,-22.8466293,-43.3244657
CENTRO COREOGRçFICO DA CIDADE DO RIO DE JANEIRO,-22.9272611,-43.2399505
CENTRO CULTURAL MUNICIPAL JOSƒ BONIFçCIO,-22.8965654,-43.1944645
CENTRO CULTURAL MUNICIPAL LAURINDA SANTOS LOBO,-22.9203901,-43.1890698
CENTRO CULTURAL MUNICIPAL ODUVALDO VIANNA FILHO (CASTELINHO DO FLAMENGO),-22.9305687,-43.1754644
CENTRO CULTURAL MUNICIPAL PARQUE DAS RUêNAS,-22.9174515,-43.1853399
CENTRO CULTURAL MUNICIPAL PROF» DYLA SYLVIA DE Sç,-22.8973622,-43.354322
Cidade das Artes,-22.998611,-43.365556
Espaço Cultura Sergio Porto,-22.958328,-43.199558
IMPERATOR ? CENTRO CULTURAL JOÌO NOGUEIRA,-22.9026503,-43.2826157
CENTRO MUNICIPAL DE ARTE HƒLIO OITICICA,-22.9060553,-43.1832025
CENTRO MUNICIPAL DE ARTES CALOUSTE GULBENKIAN,-22.9087854,-43.1979203
CENTRO DA MòSICA CARIOCA ARTUR DA TçVOLA,-22.9360573,-43.2447417
LONA CULTURAL MUNICIPAL CARLOS ZƒFIRO,-22.8288294,-43.4026796
LONA CULTURAL MUNICIPAL ELZA OSBORNE,-22.9025213,-43.5683802
LONA CULTURAL MUNICIPAL GILBERTO GIL,-22.8776759,-43.4169997
LONA CULTURAL MUNICIPAL HERBERT VIANNA,-22.8581751,-43.2415491
LONA CULTURAL MUNICIPAL HERMETO PASCOAL,-22.8785873,-43.4735341
LONA CULTURAL MUNICIPAL JACOB DO BANDOLIM,-22.9244099,-43.3599257
LONA CULTURAL MUNICIPAL JOÌO BOSCO,-22.8332022,-43.3129614
LONA CULTURAL MUNICIPAL RENATO RUSSO,-22.8050847,-43.1809295
LONA CULTURAL MUNICIPAL SANDRA DE Sç,-22.9020356,-43.7083132
LONA CULTURAL MUNICIPAL TERRA,-22.8398563,-43.3806757
MEMORIAL MUNICIPAL GETòLIO VARGAS,-22.9220262,-43.1735557
FUNDA‚ÌO PLANETçRIO - Museu do Universo,-22.9781624,-43.2314125
Museu de Arte do Rio,-22.896174,-43.181736
PLANETçRIO DE SANTA CRUZ - Cidade das Crianças Leonel Brizola,-22.8923851,-43.6908954
Sala Baden Powell,-22.967121,-43.180619
TEATRO MUNICIPAL CARLOS WERNECK,-22.9350756,-43.1766426
TEATRO MUNICIPAL DE GUIGNOL DA TIJUCA,-22.9319763,-43.2440773
TEATRO MUNICIPAL DE GUIGNOL DO MƒIER,-22.9005155,-43.2784812
Teatro Caf_ Pequeno,-22.983817,-43.217927
Teatro Carlos Gomes,-22.907223,-43.182519
Teatro Ipanema,-22.98531,-43.20479
Teatro Maria Clara Machado,-22.978844,-43.230249
Teatro Serrador,-22.9117352,-43.1772206
Teatro Ziembinski,-22.920947,-43.223917
