place,latitude,longitude
AquaRio,-22.895843,-43.1809964
Arco do Teles,-22.9027395,-43.1768956
Arcos da Lapa,-22.9159704,-43.1798529
Aterro do Flamengo,-22.9293666,-43.1746487
Bar Tombado - Adega Da Velha,-22.9527465,-43.189476
Bar Tombado - Adega Flor De Coimbra,-22.9150872,-43.178928
Bar Tombado - Adega Pérola,-22.9661676,-43.1873367
Bar Tombado - Armazém Cardosão,-22.938105,-43.1885728
Bar Tombado - Armazém Do Senado,-22.909181,-43.1868347
Bar Tombado - Armazém São Thiago - Bar Do Gomez,-22.9213177,-43.1895082
Bar Tombado - Bar Brasil,-22.9285187,-43.3545988
Bar Tombado - Bar Da Dona Maria - Café E Bar Brotinh,-22.9353748,-43.2444492
Bar Tombado - Bar Do Adonis,-22.8939954,-43.2413173
Bar Tombado - Bar Lagoa,-22.9800583,-43.203348
Bar Tombado - Bar Luiz,-22.9066827,-43.1823171
Bar Tombado - Bar Urca,-22.9435718,-43.1602078
Bar Tombado - Bip Bip,-22.9798128,-43.1905087
Bar Tombado - Botequim Do Joia,-22.9004977,-43.1862115
Bar Tombado - Café E Bar Lisbela,-22.8854557,-43.2652081
Bar Tombado - Casa Da Cachaça,-22.912963,-43.1824369
Bar Tombado - Casa Paladino,-22.9010649,-43.184266
Bar Tombado - Casa Vilarino,-22.911201,-43.172881
Bar Tombado - Cervantes,-22.921354,-43.7035775
Bar Tombado - Cosmopolita,-22.9138298,-43.1788809
Bar Tombado - Jobi,-22.9852609,-43.226989
Bar Tombado - Lamas,-22.9338978,-43.1774303
Bar Tombado - Nova Capela,-22.9129289,-43.1823262
Bar Tombado - Pavão Azul,-22.9653937,-43.1832218
Bar Tombado - Restaurante Salete,-22.9152076,-43.2201214
Biblioteca Nacional,-22.9109366,-43.1776549
Biblioteca Parque Estadual,-22.9043952,-43.1894892
Bosque da Barra,-22.9976912,-43.3715302
CADEG,-22.8950621,-43.2375707
CRAB,-22.9068746,-43.1841523
Cais do Valongo,-22.897871,-43.1893377
Campo Olímpico de Golfe,-23.0049967,-43.4091335
Campo de Santana,-22.9063839,-43.1907998
Casa França - Brasil,-22.9005547,-43.178131
Casa Histórica de Deodoro,-22.9056347,-43.1930737
Casa do Jongo,-22.8650515,-43.3325605
Centro Cultural Banco do Brasil,-22.9007953,-43.1786137
Centro Cultural José Bonifácio,-22.8962416,-43.1965481
Centro Cultural Justiça Federal,-22.910505,-43.1775205
Centro Cultural Light,-22.902587,-43.1891626
Centro Cultural dos Correios,-22.9012672,-43.178015
Chácara Tropical,-22.9923406,-43.3044845
Cidade das Artes,-22.9991718,-43.3680364
Cristo Redentor,-22.951911,-43.2126759
Escadaria Selarón,-22.9153056,-43.1813925
Espaço Ciência Viva,-22.922334,-43.2318807
Estádio Olímpico (Engenhão),-22.8932699,-43.2945015
Feira das Yabás,-22.8676935,-43.3467147
Feira de São Cristóvão,-22.89758,-43.2226662
Fortaleza Nossa Senhora da Conceição,-22.9574074,-43.3322063
Fortaleza de São João,-22.9574074,-43.3322063
Forte Duque de Caxias - Pedra do Leme,-22.963186,-43.1645727
Forte de Copacabana,-22.9574074,-43.3322063
Fundação Casa de Rui Barbosa,-22.9487716,-43.1892801
Fábrica Bhering,-22.9010727,-43.2055709
G.R.E.S. Imperatriz Leopoldinense,-22.8562058,-43.2649876
G.R.E.S. Império Serrano,-22.8739988,-43.3389455
G.R.E.S. Portela,-22.8963164,-43.2006145
G.R.E.S. Salgueiro,-22.9217928,-43.245728
G.R.E.S. São Clemente,-22.9090916,-43.2071294
G.R.E.S. Vila Isabel,-22.9161515,-43.2511341
