nome,latitude,longitude
Armazem da Utopia - Porto,-22.8927919,-43.1924828
Arpoador,-22.9885617,-43.1951814
AssociaçÜo Atletica Banco do Brasil (AABB),-22.9797169,-43.2180938
Blue Beach Point Club,-23.0105806,-43.3701029
Botafogo de Futebol e Regatas,-22.9550748,-43.1780891
Casa Daros Rio,-22.9546551,-43.1795563
Casa de Cultura Laura Alvin,-22.9864477,-43.2014018
Casa França Brasil,-22.901724,-43.1773703
Casa Shopping,-22.9927068,-43.364663
Centro Cultural dos Correios,-22.8991337,-43.177559
Centro Cultural Ministerio da Saude,-22.9047165,-43.1702659
Centro de Convenç_es da Bolsa do Rio,-22.9023767,-43.1748841
Centro de Convenç_es Sul America,-22.912101,-43.2095993
Centro Empresarial Mario Henrique Simonsen,-22.9993314,-43.347719
Clube Costa Brava,-23.0147113,-43.2884273
Clube de Regatas do Flamengo,-22.9795423,-43.2175107
Clube Marimbas,-22.9864895,-43.1885784
Clube Militar da Praia Vermelha,-22.9555275,-43.1657141
Clube Monte Libano,-22.9805784,-43.2177767
Colegio SÜo Pedro - Arpoador,-22.98751,-43.1969177
Escola Municipal Cicero Pena,-22.9692286,-43.1812169
Hotel Arena,-22.9691467,-43.1827006
Hotel Barra Next Prime,-23.0100118,-43.3343601
Instituto Cervantes,-22.9456363,-43.1864758
Itanhanga Golf Club,-22.9919017,-43.3030529
Jockey Clube Brasileiro - Restaurante Vitoria,-24.9743827,-43.2225653
Le Monde,-22.9991352,-43.3489154
Mans_es Condominio Apolom,-23.0079283,-43.4312839
Paço Imperial,-22.9036391,-43.1759143
Parque Lage,-22.9610263,-43.2133252
Pier Maua,-22.89369,-43.1984942
Polonia Sociedade Beneficente,-22.938672,-43.195525
Praia de Ipanema - Areia da Praia,-22.9824594,-43.2161944
Praia do Lebon - Areia da Praia,-22.9810913,-43.2169033
Shopping Metropolitano,-22.9714934,-43.3727246
Shopping Metropolitano,-22.9714934,-43.3727246
Sociedade Hipica Brasileira,-22.9627084,-43.2148162
Tribuna B do Jockey Clube Brasileiro,-22.9743827,-43.2225653
Unidade Barra Tom Jobim,-22.9995524,-43.3543893
Unidade Centro,-22.8968856,-43.1846045
Via Parque,-22.9827706,-43.3636927
Via Parque,-22.9827706,-43.3636927
